X,Y,Z,pos
248,62,4,lateral L
244,64,-6,lateral L
241,69,13,lateral L
244,67,14,lateral L
247,67,6,lateral L
240,64,8,lateral L
241,64,1,lateral L
245,62,-1,lateral L
242,62,0,lateral L
243,68,9,lateral L
243,65,10,lateral L
249,66,8,lateral L
243,62,7,lateral L
250,59,11,lateral L
248,63,1,lateral L
247,63,-8,lateral L
243,65,9,lateral L
248,64,8,lateral L
248,64,12,lateral L
254,63,17,lateral L
259,63,22,lateral L
252,53,-2,lateral L
251,52,-17,lateral L
243,52,-8,lateral L
242,54,-6,lateral L
248,59,-12,lateral L
243,65,-6,lateral L
250,67,-4,lateral L
253,63,-4,lateral L
250,61,-7,lateral L
248,60,5,lateral L
251,63,-12,lateral L
248,60,-16,lateral L
250,61,-4,lateral L
249,56,-14,lateral L
240,58,-13,lateral L
240,56,-10,lateral L
247,56,-8,lateral L
249,56,-10,lateral L
249,53,-17,lateral L
243,51,0,lateral L
243,56,1,lateral L
239,55,7,lateral L
250,64,9,lateral L
249,60,-1,lateral L
247,60,9,lateral L
249,62,11,lateral L
245,57,12,lateral L
248,55,-7,lateral L
250,57,-10,lateral L
255,55,-7,lateral L
252,58,-3,lateral L
249,55,-17,lateral L
245,52,-10,lateral L
239,51,-7,lateral L
252,52,-2,lateral L
252,57,-7,lateral L
248,57,-5,lateral L
251,59,-5,lateral L
249,56,-4,lateral L
248,50,6,lateral L
249,43,0,lateral L
246,44,-5,lateral L
248,47,-5,lateral L
256,55,2,lateral L
248,53,2,lateral L
253,51,-7,lateral L
248,51,-3,lateral L
255,53,3,lateral L
255,52,-2,lateral L
251,50,0,lateral L
254,50,1,lateral L
250,59,0,lateral L
251,53,5,lateral L
246,47,4,lateral L
248,47,-3,lateral L
249,54,5,lateral L
253,54,7,lateral L
254,50,-2,lateral L
256,49,4,lateral L
256,51,4,lateral L
249,51,3,lateral L
252,49,2,lateral L
252,48,3,lateral L
254,51,-13,lateral L
253,45,2,lateral L
249,45,3,lateral L
247,50,15,lateral L
250,51,7,lateral L
255,46,-4,lateral L
249,48,11,lateral L
255,50,3,lateral L
258,48,2,lateral L
253,46,-6,lateral L
250,45,-3,lateral L
256,44,-1,lateral L
259,43,-3,lateral L
252,47,-5,lateral L
252,45,-4,lateral L
254,46,-5,lateral L
251,49,-1,lateral L
247,45,12,lateral L
251,45,3,lateral L
246,45,6,lateral L
252,44,0,lateral L
246,40,8,lateral L
252,41,1,lateral L
252,48,2,lateral L
249,48,6,lateral L
256,45,-8,lateral L
248,44,4,lateral L
251,47,-3,lateral L
250,43,4,lateral L
249,42,-3,lateral L
255,39,0,lateral L
251,42,6,lateral L
250,42,9,lateral L
255,36,8,lateral L
261,38,-5,lateral L
258,38,1,lateral L
252,42,0,lateral L
250,39,-4,lateral L
247,39,-1,lateral L
253,37,-6,lateral L
246,38,1,lateral L
256,39,6,lateral L
254,41,12,lateral L
253,33,-1,lateral L
252,37,13,lateral L
254,31,7,lateral L
