X,Y,Z,pos
248,45,33,lateral L
250,49,25,lateral L
250,47,26,lateral L
253,47,15,lateral L
253,45,11,lateral L
251,46,21,lateral L
248,46,33,lateral L
247,47,39,lateral L
245,47,37,lateral L
255,44,29,lateral L
258,47,30,lateral L
250,47,29,lateral L
252,43,28,lateral L
250,43,29,lateral L
243,46,29,lateral L
248,47,28,lateral L
246,44,34,lateral L
256,48,26,lateral L
254,47,25,lateral L
258,43,30,lateral L
249,46,29,lateral L
250,47,32,lateral L
247,48,30,lateral L
253,45,13,lateral L
245,47,10,lateral L
246,46,27,lateral L
253,46,10,lateral L
250,44,15,lateral L
250,40,10,lateral L
249,43,21,lateral L
252,42,31,lateral L
249,38,29,lateral L
253,42,27,lateral L
259,43,19,lateral L
250,47,18,lateral L
248,43,25,lateral L
249,45,30,lateral L
252,45,25,lateral L
246,48,23,lateral L
249,42,31,lateral L
256,40,15,lateral L
251,43,30,lateral L
240,46,31,lateral L
253,43,20,lateral L
253,47,27,lateral L
251,45,21,lateral L
254,44,30,lateral L
255,42,28,lateral L
250,45,10,lateral L
252,44,19,lateral L
250,46,17,lateral L
251,47,41,lateral L
255,49,14,lateral L
251,46,19,lateral L
252,46,21,lateral L
255,44,23,lateral L
256,43,14,lateral L
249,44,14,lateral L
249,42,28,lateral L
257,41,18,lateral L
250,46,25,lateral L
254,47,21,lateral L
251,43,26,lateral L
251,44,29,lateral L
252,45,23,lateral L
250,49,11,lateral L
246,46,14,lateral L
254,42,24,lateral L
254,41,24,lateral L
250,40,18,lateral L
258,42,15,lateral L
252,48,13,lateral L
252,43,19,lateral L
253,46,16,lateral L
246,47,20,lateral L
239,43,27,lateral L
256,43,16,lateral L
250,46,13,lateral L
247,47,19,lateral L
247,46,15,lateral L
247,46,26,lateral L
254,44,23,lateral L
251,45,8,lateral L
249,44,17,lateral L
249,44,20,lateral L
250,44,19,lateral L
250,46,18,lateral L
249,45,7,lateral L
246,48,21,lateral L
243,49,25,lateral L
248,46,19,lateral L
250,45,23,lateral L
